InstanceConfig,Price_With_rep($/Month)
62 x cache.t2.micro,1964.1599999999999
62 x cache.t3.micro,1964.1599999999999
65 x cache.t4g.micro,1965.6
63 x cache.t2.micro,1995.8399999999997
63 x cache.t3.micro,1995.8399999999997
33 x cache.t4g.small,1995.8400000000001
66 x cache.t4g.micro,1995.8400000000001
10 x cache.m5.xlarge,2001.6
5 x cache.m5.2xlarge,2008.8000000000002
7 x cache.r5.xlarge,2016.0
20 x cache.m5.large,2016.0
67 x cache.t4g.micro,2026.08
16 x cache.t3.medium,2027.52
16 x cache.t2.medium,2027.52
32 x cache.t2.small,2027.52
32 x cache.t3.small,2027.52
64 x cache.t2.micro,2027.52
64 x cache.t3.micro,2027.52
14 x cache.r5.large,2036.1600000000003
17 x cache.t4g.medium,2056.32
34 x cache.t4g.small,2056.32
68 x cache.t4g.micro,2056.32
65 x cache.t2.micro,2059.2
65 x cache.t3.micro,2059.2
3 x cache.r5.xlarge,2073.6000000000004
7 x cache.r6g.large,2076.48
6 x cache.r5.large,2082.2400000000002
69 x cache.t4g.micro,2086.5600000000004
1 x cache.m5.4xlarge,2090.88
1 x cache.m4.4xlarge,2090.88
4 x cache.m4.xlarge,2090.88
4 x cache.m5.xlarge,2090.88
33 x cache.t2.small,2090.88
33 x cache.t3.small,2090.88
66 x cache.t2.micro,2090.88
66 x cache.t3.micro,2090.88
2 x cache.m5.2xlarge,2093.76
2 x cache.m4.2xlarge,2093.76
8 x cache.m5.large,2096.6400000000003
8 x cache.m4.large,2096.6400000000003
21 x cache.m5.large,2116.8
35 x cache.t4g.small,2116.8
70 x cache.t4g.micro,2116.8
67 x cache.t2.micro,2122.56
67 x cache.t3.micro,2122.56
5 x cache.m6g.xlarge,2138.4
10 x cache.m6g.large,2145.6
71 x cache.t4g.micro,2147.0400000000004
17 x cache.t3.medium,2154.24
17 x cache.t2.medium,2154.24
34 x cache.t2.small,2154.24
34 x cache.t3.small,2154.24
68 x cache.t2.micro,2154.24
68 x cache.t3.micro,2154.24
18 x cache.t4g.medium,2177.2799999999997
36 x cache.t4g.small,2177.2799999999997
72 x cache.t4g.micro,2177.2799999999997
15 x cache.r5.large,2181.6
69 x cache.t2.micro,2185.92
69 x cache.t3.micro,2185.92
3 x cache.r4.xlarge,2190.24
6 x cache.r4.large,2194.56
11 x cache.m5.xlarge,2201.76
73 x cache.t4g.micro,2207.52
35 x cache.t2.small,2217.5999999999995
35 x cache.t3.small,2217.5999999999995
70 x cache.t2.micro,2217.5999999999995
70 x cache.t3.micro,2217.5999999999995
22 x cache.m5.large,2217.6
37 x cache.t4g.small,2237.7599999999998
74 x cache.t4g.micro,2237.7599999999998
1 x cache.r6gd.2xlarge,2246.3999999999996
2 x cache.r6gd.xlarge,2249.2799999999997
71 x cache.t2.micro,2249.2799999999997
71 x cache.t3.micro,2249.2799999999997
75 x cache.t4g.micro,2268.0000000000005
18 x cache.t3.medium,2280.96
18 x cache.t2.medium,2280.96
36 x cache.t2.small,2280.96
36 x cache.t3.small,2280.96
72 x cache.t2.micro,2280.96
72 x cache.t3.micro,2280.96
19 x cache.t4g.medium,2298.2400000000002
38 x cache.t4g.small,2298.2400000000002
76 x cache.t4g.micro,2298.2400000000002
8 x cache.r5.xlarge,2304.0000000000005
2 x cache.r5.4xlarge,2306.88
4 x cache.r5.2xlarge,2309.76
73 x cache.t2.micro,2312.64
73 x cache.t3.micro,2312.64
23 x cache.m5.large,2318.4
16 x cache.r5.large,2327.0400000000004
77 x cache.t4g.micro,2328.48
37 x cache.t2.small,2344.3199999999997
37 x cache.t3.small,2344.3199999999997
74 x cache.t2.micro,2344.3199999999997
74 x cache.t3.micro,2344.3199999999997
9 x cache.m5.large,2358.72
9 x cache.m4.large,2358.72
39 x cache.t4g.small,2358.7200000000003
78 x cache.t4g.micro,2358.7200000000003
11 x cache.m6g.large,2360.16
1 x cache.r6g.4xlarge,2364.48
2 x cache.r6g.2xlarge,2364.48
4 x cache.r6g.xlarge,2367.3599999999997
8 x cache.r6g.large,2373.12
75 x cache.t2.micro,2375.9999999999995
75 x cache.t3.micro,2375.9999999999995
79 x cache.t4g.micro,2388.96
3 x cache.m5.4xlarge,2401.92
12 x cache.m5.xlarge,2401.92
19 x cache.t3.medium,2407.68
19 x cache.t2.medium,2407.68
38 x cache.t2.small,2407.68
38 x cache.t3.small,2407.68
76 x cache.t2.micro,2407.68
76 x cache.t3.micro,2407.68
6 x cache.m5.2xlarge,2410.56
1 x cache.m5.12xlarge,2419.2
20 x cache.t4g.medium,2419.2000000000003
24 x cache.m5.large,2419.2000000000003
40 x cache.t4g.small,2419.2000000000003
80 x cache.t4g.micro,2419.2000000000003
7 x cache.r5.large,2429.2799999999997
77 x cache.t2.micro,2439.36
77 x cache.t3.micro,2439.36
81 x cache.t4g.micro,2449.44
39 x cache.t2.small,2471.04
39 x cache.t3.small,2471.04
78 x cache.t2.micro,2471.04
78 x cache.t3.micro,2471.04
17 x cache.r5.large,2472.48
41 x cache.t4g.small,2479.6800000000003
82 x cache.t4g.micro,2479.6800000000003
79 x cache.t2.micro,2502.7200000000003
79 x cache.t3.micro,2502.7200000000003
83 x cache.t4g.micro,2509.92
25 x cache.m5.large,2520.0000000000005
20 x cache.t3.medium,2534.3999999999996
20 x cache.t2.medium,2534.3999999999996
40 x cache.t2.small,2534.3999999999996
40 x cache.t3.small,2534.3999999999996
80 x cache.t2.micro,2534.3999999999996
80 x cache.t3.micro,2534.3999999999996
21 x cache.t4g.medium,2540.16
42 x cache.t4g.small,2540.16
84 x cache.t4g.micro,2540.16
7 x cache.r4.large,2560.3199999999997
3 x cache.m6g.2xlarge,2561.7599999999998
81 x cache.t2.micro,2566.0799999999995
81 x cache.t3.micro,2566.0799999999995
6 x cache.m6g.xlarge,2566.08
85 x cache.t4g.micro,2570.4
12 x cache.m6g.large,2574.7199999999993
9 x cache.r5.xlarge,2592.0
41 x cache.t2.small,2597.7599999999993
41 x cache.t3.small,2597.7599999999993
82 x cache.t2.micro,2597.7599999999993
82 x cache.t3.micro,2597.7599999999993
43 x cache.t4g.small,2600.64
86 x cache.t4g.micro,2600.64
13 x cache.m5.xlarge,2602.08
5 x cache.m4.xlarge,2613.6000000000004
5 x cache.m5.xlarge,2613.6000000000004
18 x cache.r5.large,2617.92
10 x cache.m5.large,2620.7999999999997
10 x cache.m4.large,2620.7999999999997
26 x cache.m5.large,2620.8
83 x cache.t2.micro,2629.44
83 x cache.t3.micro,2629.44
87 x cache.t4g.micro,2630.8800000000006
21 x cache.t3.medium,2661.12
21 x cache.t2.medium,2661.12
42 x cache.t2.small,2661.12
42 x cache.t3.small,2661.12
84 x cache.t2.micro,2661.12
84 x cache.t3.micro,2661.12
22 x cache.t4g.medium,2661.1200000000003
44 x cache.t4g.small,2661.1200000000003
88 x cache.t4g.micro,2661.1200000000003
9 x cache.r6g.large,2669.7599999999998
89 x cache.t4g.micro,2691.3600000000006
85 x cache.t2.micro,2692.7999999999997
85 x cache.t3.micro,2692.7999999999997
27 x cache.m5.large,2721.6
45 x cache.t4g.small,2721.6
90 x cache.t4g.micro,2721.6
43 x cache.t2.small,2724.48
43 x cache.t3.small,2724.48
86 x cache.t2.micro,2724.48
86 x cache.t3.micro,2724.48
91 x cache.t4g.micro,2751.84
87 x cache.t2.micro,2756.16
87 x cache.t3.micro,2756.16
19 x cache.r5.large,2763.3599999999997
4 x cache.r5.xlarge,2764.7999999999997
1 x cache.r5.4xlarge,2766.24
2 x cache.r5.2xlarge,2767.68
8 x cache.r5.large,2776.3199999999997
23 x cache.t4g.medium,2782.08
46 x cache.t4g.small,2782.08
92 x cache.t4g.micro,2782.08
22 x cache.t3.medium,2787.84
22 x cache.t2.medium,2787.84
44 x cache.t2.small,2787.84
44 x cache.t3.small,2787.84
88 x cache.t2.micro,2787.84
88 x cache.t3.micro,2787.84
13 x cache.m6g.large,2789.2799999999997
14 x cache.m5.xlarge,2802.2400000000007
93 x cache.t4g.micro,2812.32
7 x cache.m5.2xlarge,2812.3200000000006
89 x cache.t2.micro,2819.52
89 x cache.t3.micro,2819.52
28 x cache.m5.large,2822.4000000000005
47 x cache.t4g.small,2842.5600000000004
94 x cache.t4g.micro,2842.5600000000004
45 x cache.t2.small,2851.2
45 x cache.t3.small,2851.2
90 x cache.t2.micro,2851.2
90 x cache.t3.micro,2851.2
95 x cache.t4g.micro,2872.8
10 x cache.r5.xlarge,2880.0
11 x cache.m5.large,2882.8799999999997
11 x cache.m4.large,2882.8799999999997
91 x cache.t2.micro,2882.8799999999997
91 x cache.t3.micro,2882.8799999999997
5 x cache.r5.2xlarge,2887.2
24 x cache.t4g.medium,2903.04
48 x cache.t4g.small,2903.04
96 x cache.t4g.micro,2903.04
20 x cache.r5.large,2908.8
23 x cache.t3.medium,2914.56
23 x cache.t2.medium,2914.56
46 x cache.t2.small,2914.56
46 x cache.t3.small,2914.56
92 x cache.t2.micro,2914.56
92 x cache.t3.micro,2914.56
1 x cache.r4.4xlarge,2920.3199999999997
2 x cache.r4.2xlarge,2920.3199999999997
4 x cache.r4.xlarge,2920.3199999999997
29 x cache.m5.large,2923.2000000000003
8 x cache.r4.large,2926.08
97 x cache.t4g.micro,2933.2799999999997
93 x cache.t2.micro,2946.24
93 x cache.t3.micro,2946.24
5 x cache.r6g.xlarge,2959.2
49 x cache.t4g.small,2963.5200000000004
98 x cache.t4g.micro,2963.5200000000004
10 x cache.r6g.large,2966.3999999999996
47 x cache.t2.small,2977.92
47 x cache.t3.small,2977.92
94 x cache.t2.micro,2977.92
94 x cache.t3.micro,2977.92
7 x cache.m6g.xlarge,2993.7599999999998
99 x cache.t4g.micro,2993.76
15 x cache.m5.xlarge,3002.4
14 x cache.m6g.large,3003.8399999999997
95 x cache.t2.micro,3009.6
95 x cache.t3.micro,3009.6
25 x cache.t4g.medium,3024.0000000000005
30 x cache.m5.large,3024.0000000000005
50 x cache.t4g.small,3024.0000000000005
100 x cache.t4g.micro,3024.0000000000005
24 x cache.t3.medium,3041.28
24 x cache.t2.medium,3041.28
48 x cache.t2.small,3041.28
48 x cache.t3.small,3041.28
96 x cache.t2.micro,3041.28
96 x cache.t3.micro,3041.28
21 x cache.r5.large,3054.24
101 x cache.t4g.micro,3054.24
97 x cache.t2.micro,3072.9599999999996
97 x cache.t3.micro,3072.9599999999996
51 x cache.t4g.small,3084.4800000000005
102 x cache.t4g.micro,3084.4800000000005
49 x cache.t2.small,3104.6399999999994
49 x cache.t3.small,3104.6399999999994
98 x cache.t2.micro,3104.6399999999994
98 x cache.t3.micro,3104.6399999999994
103 x cache.t4g.micro,3114.7200000000003
9 x cache.r5.large,3123.3599999999997
31 x cache.m5.large,3124.8000000000006
6 x cache.m4.xlarge,3136.3199999999997
6 x cache.m5.xlarge,3136.3199999999997
99 x cache.t2.micro,3136.3199999999997
99 x cache.t3.micro,3136.3199999999997
3 x cache.m5.2xlarge,3140.64
3 x cache.m4.2xlarge,3140.64
12 x cache.m5.large,3144.96
12 x cache.m4.large,3144.96
26 x cache.t4g.medium,3144.96
52 x cache.t4g.small,3144.96
104 x cache.t4g.micro,3144.96
25 x cache.t3.medium,3168.0
